,id,time,x,y
0,1.0,0.0,-0.18256012039248212,-0.2598083058550672
1,1.0,1.0,-0.13722442416935618,-0.2671626995625571
2,1.0,2.0,-0.06108443068265432,-0.2452601800284538
3,1.0,3.0,0.06193478977762476,-0.24889708753537199
4,1.0,4.0,0.0696594083938891,-0.33317963154381325
5,1.0,5.0,0.03267769073493304,-0.3372420039037856
6,1.0,6.0,-0.0064066477214042294,-0.3859530736225843
7,1.0,7.0,0.021318545947068696,-0.30051430797147155
8,1.0,8.0,0.05996628639489293,-0.27784783498005483
9,1.0,9.0,0.024639438514826695,-0.22705502038698216
10,1.0,10.0,0.015459907085709435,1000000.0
11,1.0,11.0,-0.02038063671509638,-0.18130971585748823
12,1.0,12.0,0.054069416881140225,-0.18085424356938506
13,1.0,13.0,0.04371772297512641,-0.1652747683524325
14,1.0,14.0,0.03171634944053675,-0.19192141982996896
15,1.0,15.0,0.04157743025259891,-0.15839041855964783
16,1.0,16.0,0.06535120408534206,-0.13430471750977524
17,1.0,17.0,0.09799527795803128,-0.1758843444927911
18,1.0,18.0,0.07363782769304741,-0.1951421858733137
19,1.0,19.0,0.046643228578562845,-0.1869486233906634
20,1.0,20.0,-0.01173745338545415,-0.18124940114369448
21,1.0,21.0,-0.039587408067958255,-0.15809250689473978
22,1.0,22.0,-0.02758135338906334,-0.13666821461335588
23,1.0,23.0,0.004076776054035058,-0.11393203830149384
24,1.0,24.0,-0.023081608500948883,-0.0827229181017117
25,1.0,25.0,-0.002566096192015588,-0.08934259755716592
26,1.0,26.0,0.001838793274184014,-0.16860960172172718
27,1.0,27.0,0.06860038609442934,-0.15607177813074907
28,1.0,28.0,0.036036171362882036,-0.16175004694399656
29,1.0,29.0,0.024233800371792763,-0.17588196735264394
30,1.0,30.0,0.09479476310618337,-0.1947107915386497
31,1.0,31.0,0.07259512251987546,-0.17501119143123198
32,1.0,32.0,-0.013673587753190358,-0.17075214998678934
33,1.0,33.0,0.03351888708909034,-0.1950255364041307
34,1.0,34.0,-0.08363275427294665,-0.21242028027211352
35,1.0,35.0,-0.1453881523319791,-0.23490089340575018
36,1.0,36.0,-0.10776323011490971,-0.1708655726294562
37,1.0,37.0,-0.09025378544242998,-0.14832998565464825
38,1.0,38.0,-0.05775135289107171,-0.1055544200849283
39,1.0,39.0,-0.051246973180557515,-0.15075565303222635
40,1.0,40.0,-0.05394587915166291,-0.20186232595572412
41,1.0,41.0,-0.01695766130972387,-0.18474045914714732
42,1.0,42.0,-0.022054335546845716,-0.16158782190592708
43,1.0,43.0,-0.006781728656305747,-0.14301064313470985
44,1.0,44.0,-0.05645374166718867,-0.15107176990011584
45,1.0,45.0,-0.0664003692590039,-0.09703012016175144
46,1.0,46.0,-0.03638494921069842,-0.07620885765048038
47,1.0,47.0,0.004005699461779089,-0.09604949521826475
48,1.0,48.0,-0.03005956998226665,-0.0955529363887852
49,1.0,49.0,-0.06512056560607943,-0.16016297856735479
50,1.0,50.0,-0.036080807418919225,-0.15475658549071228
51,1.0,51.0,-0.06325151291907356,-0.12775425294443227
52,1.0,52.0,-0.14976836303440835,-0.26060036956571603
